Date,st601,st604,st605,st606,st607,st608,st609,st610,st612,st613,st614,st615,st616,st619,st620,st621,st622,st624,st625,st626,st627,st628,st629,st630,st633,st701,st704,st706,st710,st715,st722,st725,st726,st801,st802,st804,st805,st806,st807,st808,st809,st810,st811,st813,st814,st815,st816,st817,st818,st820,st821,st823,st824,st826,st827,st829,st830,st832,st833,st834,st866,st902,st903,st904,st906,st919,st920,st925,st927,st1002,st1004,st1005,st1007,st1038,st1054,st1054,st1055,st1057,st1079,
8/12/1983,0,0.7,17.3,3.2,1.9,0.5292425695,14.1,0,0,23.2,40.7,25.52869372,35,35.3,0,4.758099563,46.16618658,0,0,3.992217676,0,0,0,22.31659625,0,0,3.1,0,0,6.7,5.2,11.8,0,0,61,0.2,16.2,10.3,0,0,0,21.5,0,0,12.6,0,7,0,10,0.8,11.4,0,47.7,22.00054532,0,12.30000241,0,3.897613564,0,0.4570486619,0.17,0,8.5,0,12,5.2,4,0,9.130339802,28,20.5,0,9.2,0,7,7,4.3,77.2,0,
8/13/1983,0,7,13.8,14.9,22,1.12464046,24.5,0,0,2.5,7,20.80777929,32,71,0,0,7.94013037,0,0,18.58876356,0,0,0,2.40480563,0,0,13.3,7.2,0,0,0,1,0,0,0,0,0,5.2,0,3.2,1.2,0,0,0,61,0,5,0,0.9,1.7,48.4,0,148.5,0,0,52.22106285,0,0,0,0.9712284066,0,0,2.4,0,9.6,7.2,5.2,0,2.577978297,0,43,0,4,0,8,8,0,82.5,0,
8/14/1983,0,0.5,0,12.2,3.4,0.3969319271,9.2,0,0,0,0,16.54436928,20.2,25.3,0,5.856122539,0,0,0,15.22032989,0,0,0,0,0,0,1.2,0,3.1,0,6.4,0,6.4,10,13.8,1,0,12.1,0,4.5,0,0,0,0,95,0,5.7,0,3.1,0.6,37.1,3.5,15.1,0,0,40.0289552,0,0,0,0.3427864964,0.85,8.4,6.2,0,1,20.4,6.1,0,6.659777267,0,25.5,74,68,0,8,8,0,10.5,0,
8/15/1983,0,0.3,22,8.8,0,0.3307766059,15.1,0,0,24.5,21.4,1.495559137,2.3,15.1,0,0,24.27411285,0,0,10.97859861,0,0,0,23.56709517,0,4.2,5.8,0,0,3.5,0,0,29.5,38.8,2.3,2.4,18.9,5.2,0.3,4.3,0,0,2.8,0,62.4,0,3.2,0,6.4,0.5,8,30,4.3,0,0,8.631580636,0,4.547215825,0,0.2856554137,2.04,3.3,0,3,0,25.2,0,3.167811028,0,11.4,68,11,7.4,0,0,0,31.2,30.8,0,
8/16/1983,0,0,20,1.5,8.7,0,1.5,0,0,24,18.5,7.997990166,12.3,29.5,0,0,20.98463026,0,0,1.871352036,0,0,0,23.08613405,0,0,0,0.2,3.2,5.7,0,7.2,0,31,2.8,18.4,9.9,2,21.5,6.7,17,16.7,0,0,16.4,0,4,0,18.2,0,2.4,58.6,15.9,17.08879566,0,2.589474191,0,2.381874956,0,0,15.63,2,14.5,0.3,10.5,14.4,0,0.3167811028,15.57528554,9,0,0,3,20,0,0,41,41.2,21.18781122,
8/17/1983,0,1,5.5,12.5,3,0.5292425695,2.1,0,16.2,21.3,2.9,13.79845763,12.7,9,0,9.516199125,3.289482582,0,0,15.5946003,0,0,0,20.48894397,0,8.4,0,0,0,1.3,10.4,0.6,12.3,0.8,40,3.1,23.4,12.2,5,17.9,5.9,0,4,0,71,0,3,0,6.2,0.8,24.3,3.7,66.7,0,0,26.21842618,0,5.629886259,0,0.4570486619,2.63,0,8.2,0.5,12.5,0,0,0.5279685046,8.808092515,40.4,37,8,88,34,22,22,33.1,31,36.01927907,
8/18/1983,0,15,6.8,10,19.5,10.18791946,7.9,12.4,10.8,2,7,5.201944824,8,12.2,0,0,7.94013037,0,0,12.47568024,0,0,0,1.923844504,18.34626989,0,0,0,0,2.2,0,24.5,6.1,21,19,8,0,12.5,65.4,35.6,25.7,2.5,5,0,13,168.5,13,15,5.1,15.4,37.4,0,15.6,2.558202944,66.27055103,40.35263947,0,0,0,8.798186742,6.79,3.2,4.6,0.1,19.5,10.4,25.1,0.1055937009,4.941125069,35,29,46.2,42,1.5,16,16,41.8,40.5,1.589085841,
8/19/1983,0,0,1,19.9,1.7,3.638542665,4,0,1.8,23.3,0.4,21.81052207,8.8,7.2,0,27.63357823,0.4537217354,0,0,24.82660368,0,0,0,22.41278847,0,8.6,3.5,10.2,0,9.7,30.2,11.2,1.2,11,1.8,0.6,0,2.7,0,0,0.7,0,0,0,6.3,6.8,5.4,0,40.4,5.5,43.1,60.2,0.6,0,2.391811348,46.50264068,0,0,0,3.142209551,0.51,0,2,25,2.5,15.2,35,26.39842523,2.148315248,8.5,11.5,43,35.8,0,9,9,41.1,33,0,
8/20/1983,1.5,8.1,16.2,12.1,11.3,0.6615532119,96.9,15,7.1,4.5,8,18.97062123,14.1,16,0,16.8363523,9.074434709,1.097118817,1.374082632,15.09557309,0,0,0,4.328650134,22.19306841,2.6,29.6,3.8,0,16.2,18.4,9.8,0,0.4,45.5,16.1,26,0,13.2,17.8,13.7,2,22,0,45,10.5,2.5,23,35.4,1,2.9,8,34.4,2.046562355,14.43097636,3.128947981,0,6.255429177,0,0.5713108274,13.67,0.3,11,1.1,31.2,9.2,20.2,1.16153071,11.81573386,85,3.7,16,22.2,0,28,28,3.7,53.4,0,
8/21/1983,0,0,0,9,3.3,0,10,0,0,2.4,7.1,2.53751191,2.1,9,0,2.013042123,8.053560804,0,0,11.22811222,0,0,0,2.308613405,0,0,5.4,1.4,0,4.1,2.2,0.2,0,21,3,0,0,0,6,12.3,38.6,2,2,0,20,1,0,0,26,0,5.2,17.4,40.3,2.046562355,0.351736963,5.610527413,0,0,0,0,0,0,5.7,4.1,1.6,7.3,2.1,4.329341738,6.122698456,40,5,12,0,14,7,7,0,23.1,14.83146785,
8/22/1983,0,0,0,18,8.5,0,1,0,0,9.4,8,21.49013786,30.1,8,0,3.294068928,9.074434709,0,0,22.45622443,0,0,0,9.042069169,0,0,0,0,5.3,1,3.6,0,7.8,8,31.2,1.1,0,3.5,0,0,1.8,0,1.8,0,43.8,0,0,0,73.9,0,21.4,0,22.1,0,0,23.0894782,0,0,0,0,0.93,0,21.8,0,2.4,10.4,1.1,0,23.4166362,0,19,76,11,0,11,11,0,43,0,
8/23/1983,0,0,0,11,4,2.976989453,2.5,0,2.7,0,0.5,18.91971711,25,30,0,4.575095733,0.5671521693,0,0,13.72324826,0,0,0,0,0,0,24.2,59.8,35,1,5,7.1,2.4,1.8,10.6,0,9,0,0.2,0,13.9,3.5,0.3,0,57.4,0,3,3.4,2.8,4.5,30.5,5.1,10.2,3.581484121,1.587317828,32.90790118,0,2.165340869,0,2.570898723,0,20.2,12,31,59.2,4.4,0,32.73404729,12.88989149,40,13.5,11,0,18.8,5,5,11,31,19.91654254,
